Date, Open, High, Low, Close, Volume
04/07/11, 133.42, 133.9775, 132.66, 133.32, 170973203
04/06/11, 133.88, 134.00, 133.12, 133.66, 120453602
04/05/11, 133.00, 133.83, 132.94, 133.24, 121083797
04/04/11, 133.43, 133.67, 132.88, 133.26, 100773297
04/01/11, 133.41, 133.77, 132.83, 133.15, 154038891
03/31/11, 132.60, 132.96, 132.45, 132.59, 132756500
03/30/11, 132.55, 133.16, 132.36, 132.77, 135895906
03/29/11, 130.87, 131.90, 130.44, 131.86, 129844602
03/28/11, 131.58, 131.92, 130.94, 130.98, 109839102
03/25/11, 131.24, 131.87, 130.8921, 131.30, 155770000
